"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: bufferSize","Param: charset","Param: sizeInMb"
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"19,131530","1,153758","s/op",131072,UTF-8,500
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"38,866637","2,380276","s/op",131072,UTF-8,1000
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"0,322388","0,015034","s/op",131072,ISO-8859-1,10
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"2,937623","0,049901","s/op",131072,ISO-8859-1,100
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"14,499452","0,098077","s/op",131072,ISO-8859-1,500
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"28,977360","0,165500","s/op",131072,ISO-8859-1,1000
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"0,330125","0,024044","s/op",131072,US-ASCII,10
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"3,179021","0,151279","s/op",131072,US-ASCII,100
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"15,579185","0,092445","s/op",131072,US-ASCII,500
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"31,156951","0,315713","s/op",131072,US-ASCII,1000
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"0,560338","0,019740","s/op",1048576,UTF-8,10
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"3,854521","0,246015","s/op",1048576,UTF-8,100
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"18,662032","0,834872","s/op",1048576,UTF-8,500
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"37,101743","1,110978","s/op",1048576,UTF-8,1000
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"0,348520","0,020796","s/op",1048576,ISO-8859-1,10
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"2,949754","0,037702","s/op",1048576,ISO-8859-1,100
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"14,536969","0,109953","s/op",1048576,ISO-8859-1,500
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"28,941934","0,099936","s/op",1048576,ISO-8859-1,1000
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"0,362930","0,011247","s/op",1048576,US-ASCII,10
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"3,188615","0,112130","s/op",1048576,US-ASCII,100
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"15,648343","0,269331","s/op",1048576,US-ASCII,500
